Index	First	Last	Team	Position	ESPNRank	FPRank	Upside	Injury Status	Blurb
A EKE RB LAC	Austin	Ekeler	LAC	RB	204	170.0	0.0		Explosive change-of-pace back should offer some standalone value. 
M WAL WR PHI	Mike	Wallace	PHI	WR	158	171.0	-1.0		
J ROS WR CIN	John	Ross	CIN	WR	130	172.0	10.0		Brandon LaFell release gives Ross some hope of sophomore breakout.
N HIN RB IND	Nyheim	Hines	IND	RB	150	173.0	-3.0		
K COL WR JAC	Keelan	Cole	JAC	WR	160	174.0	6.0		
DEF PHI			PHI	DEF	170	175.0			
Q ENU WR NYJ	Quincy	Enunwa	NYJ	WR	169	176.0	8.0		Sneaky high-volume upside opposite deep threat Robby Anderson.
DEF HOU			HOU	DEF	174	177.0			
J WIL RB IND	Jordan	Wilkins	IND	RB	109	178.0	-3.0		Marlon Mack hurt. Robert Turbin banned. Nyheim Hines struggling.
D MON WR JAC	Donte	Moncrief	JAC	WR	145	179.0	4.0		
C KEE QB DEN	Case	Keenum	DEN	QB	266	180.0	-6.0		
B WAT TE NO	Benjamin	Watson	NO	TE	197	181.0	-6.0		
D WES WR JAC	Dede	Westbrook	JAC	WR	295	182.0	-3.0		
R GRA WR IND	Ryan	Grant	IND	WR	159	183.0	7.0		Reliable possession WR shaping up as Colts No. 2 opposite T.Y. Hilton. 
DEF LAR			LAR	DEF	171	184.0			
A HOO TE ATL	Austin	Hooper	ATL	TE	198	185.0	-7.0		
DEF DEN			DEN	DEF	180	186.0			
C KIR WR ARI	Christian	Kirk	ARI	WR	213	187.0	-1.0		
C IVO RB BUF	Chris	Ivory	BUF	RB	203	188.0	-3.0		
R SEA TE ARI	Ricky	Seals-Jones	ARI	TE	248	189.0	-1.0		
K DIX RB BAL	Kenneth	Dixon	BAL	RB	199	190.0	8.0		
A SEF TE JAC	Austin	Seferian-Jenkins	JAC	TE	164	191.0	-6.0		
DEF LAC			LAC	DEF	179	193.0			
J KEA WR NYJ	Jermaine	Kearse	NYJ	WR	234	194.0	-2.0		
DEF BAL			BAL	DEF	173	195.0			
DEF SEA			SEA	DEF	300	196.0			
S GOS K NE	Stephen	Gostkowski	NE	K	176	197.0			
A WIL WR MIA	Albert	Wilson	MIA	WR	225	198.0	-5.0		
D AME WR MIA	Danny	Amendola	MIA	WR	131	199.0	3.0		
T YEL RB JAC	T.J.	Yeldon	JAC	RB	236	200.0	-6.0		
J ALL RB BAL	Javorius	Allen	BAL	RB	194	201.0	-3.0		
S PER RB WAS	Samaje	Perine	WAS	RB	152	202.0	9.0	Week to week	
C SUT WR DEN	Courtland	Sutton	DEN	WR	144	203.0	2.0		
G ALL WR GB	Geronimo	Allison	GB	WR	251	204.0	-7.0		
J WIN QB TB	Jameis	Winston	TB	QB	245	205.0	0.0	Return Week 4	
T TAY WR TEN	Taywan	Taylor	TEN	WR	218	206.0	1.0		Star of Titans camp. Exciting flyer in otherwise injured WR corps.
V MCD TE PIT	Vance	McDonald	PIT	TE	166	207.0	-9.0	Week to week	Drew 16 targets in playoff loss. Role to grow post-Martavis Bryant.
T WIL WR DAL	Terrance	Williams	DAL	WR	226	208.0	-3.0		Plus-sized RAC beast should get more usage post-Hunter Henry. 
DEF NE			NE	DEF	178	209.0			
R TAN QB MIA	Ryan	Tannehill	MIA	QB	220	211.0	-8.0		
J TUC K BAL	Justin	Tucker	BAL	K	177	212.0			
T TAY QB CLE	Tyrod	Taylor	CLE	QB	168	213.0	16.0		
G ZUE K LAR	Greg	Zuerlein	LAR	K	175	214.0			
M BRY K ATL	Matt	Bryant	ATL	K	184	215.0			
S WAR RB KC	Spencer	Ware	KC	RB	205	216.0	3.0		
M GES TE MIA	Mike	Gesicki	MIA	TE	247	217.0	-3.0		
DEF KC			KC	DEF	299	218.0			
T BEN WR LAC	Travis	Benjamin	LAC	WR	230	219.0	-7.0		
J WAS WR PIT	James	Washington	PIT	WR	143	220.0	-6.0		
DEF CAR			CAR	DEF	183	221.0			
