Index	First	Last	Suffix	Position	Team	Rank
R TAN QB MIA	Ryan	Tannehill		QB	MIA	220
DEF WAS				DEF	WAS	221
DEF ARI				DEF	ARI	222
D BAI K DAL	Dan	Bailey		K	DAL	223
R SUC K TEN	Ryan	Succop		K	TEN	224
A WIL WR MIA	Albert	Wilson		WR	MIA	225
T WIL WR DAL	Terrance	Williams		WR	DAL	226
W SNE WR BAL	Willie	Snead		WR	BAL	227
T WIL WR LAC	Tyrell	Williams		WR	LAC	228
B MAR WR SEA	Brandon	Marshall		WR	SEA	229
T BEN WR LAC	Travis	Benjamin		WR	LAC	230
T PRY WR NYJ	Terrelle	Pryor	Sr.	WR	NYJ	231
A CAL WR CLE	Antonio	Callaway		WR	CLE	232
C COL WR BUF	Corey	Coleman		WR	BUF	233
J KEA WR NYJ	Jermaine	Kearse		WR	NYJ	234
R SMI RB DAL	Rod	Smith		RB	DAL	235
T YEL RB JAC	T.J.	Yeldon		RB	JAC	236
J KEL RB LAR	John	Kelly		RB	LAR	237
C GRA RB JAC	Corey	Grant		RB	JAC	238
A BLU RB HOU	Alfred	Blue		RB	HOU	239
C PRO RB SEA	C.J.	Prosise		RB	SEA	240
M WAL RB CIN	Mark	Walton		RB	CIN	241
T AUS RB DAL	Tavon	Austin		RB	DAL	242
E MAN QB NYG	Eli	Manning		QB	NYG	243
D CAR QB OAK	Derek	Carr		QB	OAK	244
J WIN QB TB	Jameis	Winston		QB	TB	245
E EBR TE IND	Eric	Ebron		TE	IND	246
M GES TE MIA	Mike	Gesicki		TE	MIA	247
R SEA TE ARI	Ricky	Seals-Jones		TE	ARI	248
A GAT TE FA	Antonio	Gates		TE	FA	249
W GAL RB NYG	Wayne	Gallman		RB	NYG	250
G ALL WR GB	Geronimo	Allison		WR	GB	251
J MOO WR GB	J'Mon	Moore		WR	GB	252
DEF ATL				DEF	ATL	253
DEF DAL				DEF	DAL	254
D CAR K MIN	Daniel	Carlson		K	MIN	255
M CRO K GB	Mason	Crosby		K	GB	256
H HUR TE BAL	Hayden	Hurst		TE	BAL	257
R GRI TE HOU	Ryan	Griffin		TE	HOU	258
V GRE TE LAC	Virgil	Green		TE	LAC	259
M VAL WR GB	Marquez	Valdes-Scantling		WR	GB	260
E ST. WR GB	Equanimeous	St.	Brown	WR	GB	261
Z JON WR BUF	Zay	Jones		WR	BUF	262
A HUM WR TB	Adam	Humphries		WR	TB	263
J WIL RB SF	Joe	Williams		RB	SF	264
C SIM RB TB	Charles	Sims		RB	TB	265
C KEE QB DEN	Case	Keenum		QB	DEN	266
B BOR QB JAC	Blake	Bortles		QB	JAC	267
J FLA QB BAL	Joe	Flacco		QB	BAL	268
S DAR QB NYJ	Sam	Darnold		QB	NYJ	269
S BRA QB ARI	Sam	Bradford		QB	ARI	270
K COU WR HOU	Keke	Coutee		WR	HOU	271
D CHA WR JAC	D.J.	Chark		WR	JAC	272
R SWI WR OAK	Ryan	Switzer		WR	OAK	273
D HAM WR DEN	DaeSean	Hamilton		WR	DEN	274
T SMI WR NO	Tre'Quan	Smith		WR	NO	275
